Years,Australia,Canada,Colombia,CostaRica,France,China,Italy,UnitedStates,UnitedKingdom
1990,16.956,27.791,32.957,3.027,58.168,1.135.185,56.743,250.132,57.493
1991,17.162,28.148,33.642,3.097,58.514,1.149.979,56.782,253.497,57.671
1992,17.338,28.487,34.314,3.172,58.801,1.163.363,56.821,257.037,57.828
1993,17.498,28.815,34.969,3.261,59.050,1.176.727,56.856,260.449,57.966
1994,17.670,29.126,35.601,3.356,59.265,1.189.962,56.867,263.662,58.114
1995,17.894,29.431,36.207,3.449,59.474,1.202.581,56.868,266.821,58.268
1996,18.102,29.740,36.796,3.541,59.680,1.215.171,56.884,269.944,58.417
1997,18.279,30.039,37.279,3.630,59.887,1.227.453,56.914,273.203,58.567
1998,18.473,30.297,37.858,3.719,60.103,1.238.722,56.930,276.417,58.738
1999,18.683,30.541,38.341,3.805,60.408,1.248.899,56.940,279.609,58.934
2000,18.902,30.823,38.917,3.888,60.819,1.258.401,56.966,282.738,59.145
2001,19.144,31.149,39.417,3.961,61.259,1.267.178,56.998,285.550,59.373
2002,19.361,31.489,39.914,4.026,61.702,1.275.379,57.083,288.212,59.625
2003,19.580,31.784,40.417,4.089,62.136,1.283.064,57.337,290.700,59.904
2004,19.796,32.084,40.918,4.152,62.591,1.290.620,57.709,293.402,60.245
2005,20.059,32.389,41.421,4.214,63.060,1.298.245,57.994,296.119,60.660
2006,20.371,32.716,41.920,4.275,63.497,1.305.116,58.168,298.988,61.108
2007,20.754,33.038,42.424,4.337,63.886,1.311.877,58.463,301.846,61.586
2008,21.208,33.390,42.930,4.399,64.239,1.318.559,58.851,304.714,62.072
2009,21.593,33.774,43.439,4.461,64.565,1.324.993,59.120,307.397,62.544
2010,21.896,34.153,43.952,4.522,64.880,1.331.357,59.302,309.957,63.036
2011,22.241,34.495,44.469,4.582,65.189,1.337.752,59.404,312.215,63.530
2012,22.642,34.864,44.988,4.642,65.500,1.344.394,59.565,314.514,63.974
2013,23.008,35.235,45.508,4.702,65.945,1.351.026,60.259,316.702,64.404
2014,23.345,35.595,46.031,4.761,66.374,1.358.076,60.814,319.036,64.880
2015,23.686,35.883,46.553,4.820,66.611,1.364.827,60.756,321.397,65.396
2016,24.086,36.259,47.079,4.879,66.787,1.372.860,60.653,323.730,65.893
2017,24.466,36.698,47.605,4.937,66.927,1.380.177,60.562,325.810,66.342
2018,24.855,37.206,48.128,4.994,67.029,1.385.439,60.447,327.835,66.746
